title,rating,ratingDescription,release year,user rating score
Gilmore Girls: A Year in the Life,TV-14,90,2016,77
13 Reasons Why,TV-MA,110,2017,99
Gabriel lglesias: I�۪m Sorry For What I Said When I Was Hungry,TV-14,90,2016,84
Amy Schumer: The Leather Special,TV-MA,110,2017,NA
Cheer Squad,TV-PG,70,2016,61
Dave Chappelle,TV-MA,110,2017,94
The Waterboy,PG-13,80,1998,82
Grease,PG,60,1978,86
The Wedding Planner,PG-13,80,2001,NA
Blow,R,100,2001,78
High School Musical,TV-G,35,2006,64
High School Musical 2,TV-G,35,2007,58
Twilight,PG-13,80,2008,89
Hannah Montana: The Movie,G,35,2009,56
The Office (U.S.),TV-14,90,2012,97
Bones,TV-14,90,2016,97
Law & Order: Special Victims Unit,TV-14,90,2015,97
Prison Break,TV-14,90,2008,98
Nurse Jackie,TV-MA,110,2015,82
NCIS,TV-14,90,2016,97
Gossip Girl,TV-14,90,2012,96
How I Met Your Mother,TV-PG,70,2014,94
Supernatural,TV-14,90,2016,95
Parks and Recreation,TV-14,90,2015,94
Glee,TV-PG,70,2015,92
The Vampire Diaries,TV-14,90,2017,91
Criminal Minds,TV-14,90,2016,98
Friends,TV-14,90,2003,98
Mean Girls 2,PG-13,80,2011,NA
The Secret Life of the American Teenager,TV-14,90,2013,81
One Tree Hill,TV-14,90,2011,90
Army Wives,TV-14,90,2013,61
Gilmore Girls,TV-14,90,2006,91
Private Practice,TV-14,90,2012,88
Parenthood,TV-14,90,2014,79
Pretty Little Liars,TV-14,90,2016,96
Shameless (U.S.),TV-MA,110,2016,97
New Girl,TV-14,90,2016,91
Revenge,TV-PG,70,2015,84
Scandal,TV-14,90,2016,92
Magic Mike,R,100,2012,77
Trouble with the Curve,PG-13,80,2012,63
Orange Is the New Black,TV-MA,110,2016,98
Baby Daddy,TV-14,90,2016,80
The Night Shift,TV-14,90,2015,93
The Originals,TV-14,90,2016,74
Home,PG,60,2015,94
How to Get Away with Murder,TV-14,90,2016,95
Zootopia,PG,60,2016,97
Finding Dory,PG,60,2016,98
Sausage Party,R,100,2016,91
Skin Wars,TV-14,90,2016,69
Girlboss,TV-MA,110,2017,94
13 Reasons Why,TV-MA,110,2017,99
Felipe Neto: My Life Makes No Sense,TV-MA,110,2017,NA
Cheer Squad,TV-PG,70,2016,61
Lost,TV-14,90,2010,98
Weeds,TV-MA,110,2012,85
The Tudors,TV-MA,110,2010,NA
Grey's Anatomy,TV-14,90,2016,98
Lie to Me,TV-14,90,2010,89
Prison Break,TV-14,90,2008,98
Gossip Girl,TV-14,90,2012,96
Glee,TV-PG,70,2015,92
The Vampire Diaries,TV-14,90,2017,91
The Secret Life of the American Teenager,TV-14,90,2013,81
Drop Dead Diva,TV-PG,70,2014,NA
Gilmore Girls,TV-14,90,2006,91
Charmed,TV-PG,70,2005,90
White Collar,TV-PG,70,2014,93
House of Cards,TV-MA,110,2016,91
Pretty Little Liars,TV-14,90,2016,96
The Killing,TV-14,90,2014,73
Shameless (U.S.),TV-MA,110,2016,97
Hart of Dixie,TV-PG,70,2014,81
Once Upon a Time,TV-PG,70,2016,98
Scandal,TV-14,90,2016,92
The Client List,TV-14,90,2013,92
Unconditional,PG-13,80,2012,NA
Bates Motel,TV-14,90,2016,83
The Blacklist,TV-14,90,2016,96
The Fosters,TV-14,90,2016,73
Reign,TV-14,90,2015,79
The Originals,TV-14,90,2016,74
The 100,NR,124,2016,97
Witches of East End,TV-14,90,2014,NA
Bitten,TV-MA,110,2016,56
London Has Fallen,R,100,2016,96
Marvel's Jessica Jones,TV-MA,110,2015,83
Bloodline,TV-MA,110,2016,NA
Grace and Frankie,TV-MA,110,2017,90
Velvet,TV-14,90,2016,NA
How to Get Away with Murder,TV-14,90,2016,95
The Crown,TV-MA,110,2016,84
Jane The Virgin,TV-14,90,2016,91
Kurt Seyit & Sura,TV-14,90,2014,NA
The Returned,TV-14,90,2015,NA
The Girl in the Book,TV-MA,110,2015,NA
Quantico,TV-14,90,2016,88
Life in Pieces,TV-14,90,2015,68
Ingobernable,TV-MA,110,2017,96
Girlboss,TV-MA,110,2017,94
13 Reasons Why,TV-MA,110,2017,99
Merl�?,TV-PG,70,2015,NA
Greenleaf,TV-14,90,2016,62
100 Metros,TV-MA,110,2016,NA
Bones,TV-14,90,2016,97
Dexter,TV-MA,110,2013,95
Leverage,TV-PG,70,2012,86
Grey's Anatomy,TV-14,90,2016,98
Lie to Me,TV-14,90,2010,89
Prison Break,TV-14,90,2008,98
NCIS,TV-14,90,2016,97
Burn Notice,TV-14,90,2013,85
Breaking Bad,TV-MA,110,2013,97
Criminal Minds,TV-14,90,2016,98
White Collar,TV-PG,70,2014,93
Luther,TV-14,90,2015,69
Hawaii Five-0,TV-14,90,2016,96
House of Cards,TV-MA,110,2016,91
Last Man Standing,TV-PG,70,2015,97
Revenge,TV-PG,70,2015,84
Person of Interest,TV-14,90,2016,93
Scandal,TV-14,90,2016,92
Touch,TV-14,90,2012,68
Sherlock,TV-14,90,2016,95
Breakout Kings,TV-14,90,2012,88
The Client List,TV-14,90,2013,92
Arrow,TV-14,90,2015,96
The Following,TV-14,90,2015,NA
"Drugs, Inc.",TV-14,90,2015,NA
Longmire,TV-14,90,2016,92
Ripper Street,TV-MA,110,2016,NA
The Fall,TV-MA,110,2016,61
Death in Paradise,TV-14,90,2016,77
Marvel's Agents of S.H.I.E.L.D.,TV-PG,70,2016,89
Crossing Lines,TV-14,90,2015,66
London Has Fallen,R,100,2016,96
Halt and Catch Fire,TV-14,90,2016,NA
Marvel's Iron Fist,TV-MA,110,2017,98
The Honorable Woman,TV-MA,110,2014,NA
Transporter: The Series,TV-MA,110,2014,NA
Gotham,TV-14,90,2016,85
Better Call Saul,TV-MA,110,2016,95
How to Get Away with Murder,TV-14,90,2016,95
Narcos,TV-MA,110,2016,94
American Odyssey,TV-14,90,2015,NA
Aquarius,TV-MA,110,2015,NA
Hap and Leonard,TV-MA,110,2016,57
Rosewood,TV-14,90,2015,81
Quantico,TV-14,90,2016,88
Limitless,TV-14,90,2016,84
Travelers,TV-MA,110,2016,86
The Doctor Blake Mysteries,TV-MA,110,2016,57
I.T,NR,124,2016,NA
Bordertown,TV-MA,110,2016,NA
The Office (U.S.),TV-14,90,2012,97
Grey's Anatomy,TV-14,90,2016,98
Law & Order: Special Victims Unit,TV-14,90,2015,97
Lie to Me,TV-14,90,2010,89
Prison Break,TV-14,90,2008,98
90210,TV-14,90,2013,62
Gossip Girl,TV-14,90,2012,96
How I Met Your Mother,TV-PG,70,2014,94
Parks and Recreation,TV-14,90,2015,94
The Vampire Diaries,TV-14,90,2017,91
Criminal Minds,TV-14,90,2016,98
Friends,TV-14,90,2003,98
The West Wing,TV-14,90,2005,79
Parenthood,TV-14,90,2014,79
White Collar,TV-PG,70,2014,93
Blue Bloods,TV-14,90,2016,95
House of Cards,TV-MA,110,2016,91
Pretty Little Liars,TV-14,90,2016,96
The Killing,TV-14,90,2014,73
Shameless (U.S.),TV-MA,110,2016,97
New Girl,TV-14,90,2016,91
Revenge,TV-PG,70,2015,84
Person of Interest,TV-14,90,2016,93
Once Upon a Time,TV-PG,70,2016,98
Scandal,TV-14,90,2016,92
Forensic Files,TV-14,90,2011,88
Sherlock,TV-14,90,2016,95
The Client List,TV-14,90,2013,92
Orange Is the New Black,TV-MA,110,2016,98
Rectify,TV-14,90,2016,NA
Black Mirror,TV-MA,110,2016,80
Bates Motel,TV-14,90,2016,83
The Fall,TV-MA,110,2016,61
The Blacklist,TV-14,90,2016,96
Being Mary Jane: The Series,TV-14,90,2016,NA
American Crime,TV-14,90,2016,NA
Madam Secretary,TV-14,90,2016,70
Sense8,TV-MA,110,2017,81
Scream,TV-14,90,2016,NA
Rosewood,TV-14,90,2015,81
The Great British Baking Show,TV-PG,70,2016,94
Quantico,TV-14,90,2016,88
Limitless,TV-14,90,2016,84
American Crime Story: The People v. O.J. Simpson,TV-MA,110,2016,79
Santa Clarita Diet,TV-MA,110,2017,82
No Tomorrow,TV-14,90,2016,NA
Girlboss,TV-MA,110,2017,94
13 Reasons Why,TV-MA,110,2017,99
The Doctor Blake Mysteries,TV-MA,110,2016,57
Greenleaf,TV-14,90,2016,62
The Nightmare Before Christmas,PG,60,1993,84
Scooby-Doo,PG,60,2002,86
Chicken Little,G,35,2005,92
Teenage Mutant Ninja Turtles,PG,60,2007,NA
Star Wars: The Clone Wars,PG,60,2008,57
Coraline,PG,60,2009,95
The Smurfs and the Magic Flute,G,35,1976,NA
We're Back! A Dinosaur's Story,G,35,1993,NA
Thomas & Friends: Thomas & the Runaway Kite,TV-Y,10,2010,NA
Dino Squad,TV-Y7,41,2008,NA
Cars Toons: Mater's Tall Tales,TV-G,35,2010,74
LeapFrog: The Amazing Alphabet Amusement Park,TV-Y,10,2010,NA
Star Wars: The Clone Wars,TV-PG,70,2014,93
Phineas and Ferb,TV-G,35,2012,89
The Batman,TV-Y7,41,2007,77
Justice League,TV-Y7-FV,42,2003,66
Justice League Unlimited,TV-Y7-FV,42,2005,NA
Mighty Morphin Power Rangers,TV-Y7-FV,42,2010,73
Young Justice,TV-PG,70,2012,71
The Super Mario Bros. Super Show!,TV-Y7,41,1989,NA
Power Rangers Zeo,TV-Y7-FV,42,1996,NA
Oscar's Oasis,TV-G,35,2011,NA
Transformers Prime,TV-Y7-FV,42,2013,NA
The Adventures of Chuck & Friends,TV-Y,10,2011,NA
Transformers: Rescue Bots,TV-Y7,41,2016,NA
Thomas & Friends: King of the Railway,TV-G,35,2013,NA
LEGO: Marvel Super Heroes: Maximum Overload,TV-Y7-FV,42,2013,NA
Max Steel,TV-Y7-FV,42,2014,NA
Transformers Prime Beast Hunters: Predacons Rising,TV-Y7-FV,42,2013,NA
Agent F.O.X.,PG,60,2014,NA
VeggieTales in the House,TV-Y,10,2016,NA
Thunder and the House Of Magic,TV-G,35,2013,NA
All Hail King Julien,TV-Y7-FV,42,2016,71
Kong: King of the Apes,TV-Y7-FV,42,2016,NA
Marvel Super Hero Adventures: Frost Fight!,PG,60,2015,NA
Slugterra: Slug Fu Showdown,TV-Y7-FV,42,2015,NA
Dinotrux,TV-Y7-FV,42,2017,NA
Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,42,2017,NA
Lego DC Comics: Batman Be-Leaguered,TV-Y7,41,2014,NA
Trollhunters,TV-Y7-FV,42,2016,83
Power Rangers Dino Charge,TV-Y7,41,2015,NA
